#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T19:12+0000 #
#####################################################################
#
# assign_mod = Self, seed = 1.0
#
# The columns have the following meaning: 
# time ResultsSize[mean] ResultsSize[max] ResultsSize[min] 
0.0 NaN NaN NaN
0.003335273333853017 NaN NaN NaN
10.00333527333385 47.333333333333336 48.0 47.0
20.003335273333814 97.33333333333333 98.0 97.0
30.00333527333378 147.33333333333334 148.0 147.0
40.00333527333389 197.33333333333334 198.0 197.0
50.00333527333403 247.33333333333334 248.0 247.0
60.00333527333417 297.3333333333333 298.0 297.0
70.00333527333432 347.3333333333333 348.0 347.0
80.00333527333446 397.3333333333333 398.0 397.0
90.0033352733346 447.3333333333333 448.0 447.0
100.00333527333474 497.3333333333333 498.0 497.0
110.00333527333488 547.3333333333334 548.0 547.0
120.00333527333503 597.3333333333334 598.0 597.0
130.003335273335 647.3333333333334 648.0 647.0
140.00333527333444 697.3333333333334 698.0 697.0
150.00333527333387 747.3333333333334 748.0 747.0
160.0033352733333 797.3333333333334 798.0 797.0
170.00333527333274 847.3333333333334 848.0 847.0
180.00333527333217 897.3333333333334 898.0 897.0
190.0033352733316 947.3333333333334 948.0 947.0
200.00333527333103 997.3333333333334 998.0 997.0
210.00333527333046 1047.3333333333333 1048.0 1047.0
220.0033352733299 1097.3333333333333 1098.0 1097.0
230.00333527332933 1147.3333333333333 1148.0 1147.0
240.00333527332876 1197.3333333333333 1198.0 1197.0
250.0033352733282 1247.3333333333333 1248.0 1247.0
260.00333527332765 1297.3333333333333 1298.0 1297.0
270.0033352733271 1347.3333333333333 1348.0 1347.0
280.0033352733265 1397.3333333333333 1398.0 1397.0
290.00333527332594 1447.3333333333333 1448.0 1447.0
300.0033352733254 1497.3333333333333 1498.0 1497.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-24T19:12+0000 #
#####################################################################
